,데이터 시간,시리얼번호,미세먼지(/),초미세먼지(/),이산화탄소(ppm),휘발성유기화합물(ppb),온도(C),습도(%),소음(dB),통합실내지수
3577,2024-03-22 13:56,V01T1623113,20,10,489,127,23.1,14,31,93
3578,2024-03-22 13:56,V01T1623112,37,17,422,141,27.6,13,46,83
3579,2024-03-22 13:56,V01T1623109,43,19,2362,154,11.2,35,43,68
3580,2024-03-14 8:08,V01T1623108,39,18,623,125,20.3,26,33,92
3581,2024-03-22 13:56,V01T1623105,39,18,666,286,21.1,22,32,90
3582,2024-03-22 13:56,V01T1623102,42,19,994,306,26.3,19,47,82
3583,2024-03-22 13:56,ICW0W2000503,6,1,832,357,21.6,31,50,94
3584,2024-03-22 13:56,ICW0W2000455,11,4,202,152,20.2,33,69,99
3585,2024-03-22 13:56,ICW0W2000447,10,3,751,214,21.2,29,58,95
3586,2024-03-22 13:56,ICW0W2000459,26,8,703,30,21.5,24,61,95
3587,2024-03-22 13:56,ICW0W2000507,5,3,849,930,24.5,24,51,77
3588,2024-03-22 13:56,ICW0W2000501,8,3,634,1229,23.3,25,66,79
3589,2024-03-22 13:56,ICW0W2000500,9,5,2500,528,26.9,23,61,74
3590,2024-03-22 13:56,ICW0W2000380,24,7,488,187,18.5,30,61,95
3591,2024-03-22 13:56,ICW0W2000275,8,2,971,512,18.7,36,50,92
3592,2024-03-22 13:56,ICW0W2000388,11,4,721,6000,17.7,30,47,64
3593,2024-01-15 14:01,ICW0W2000381,8,2,2500,123,26,15,53,72
3594,2024-03-21 16:09,ICW0W2000382,16,5,500,0,23.3,20,63,98
3595,2023-12-01 13:35,ICW0W2000285,23,4,921,1027,14.7,22,61,70
3596,2024-03-22 13:56,ICW0W2000287,11,3,722,95,23.5,24,52,97
3597,2024-03-22 13:56,ICW0W2000398,33,11,543,70,20.7,26,63,95
3598,2024-03-22 13:56,ICW0W2000974,2,1,1850,531,19.4,34,55,79
3599,2024-03-22 13:56,ICW0W2000248,34,10,1442,5,22.2,22,64,81
3600,2024-03-22 13:56,ICW0W2000262,28,8,572,30,17,30,56,93
3601,2024-03-22 13:55,ICW0W2100488,25,9,438,238,24.2,16,72,88
3602,2024-03-22 13:55,ICW0W2100506,26,10,446,54,23.3,21,76,96
3603,2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
3604,2024-03-22 13:55,ICW0W2100582,33,11,674,196,22.3,25,60,92
3605,2024-03-22 13:55,ICW0W2100579,8,3,0,287,27.8,14,64,88
3606,2024-03-22 13:56,ICW0W2100562,33,17,553,274,24.9,15,58,85
3608,2024-03-22 16:47,ICW0W2100481,10,3,2066,3953,22.2,41,74,73
3609,2024-03-14 9:08,ICW0W2100587,55,20,392,6000,24.8,23,69,62
3610,2024-03-22 16:47,ICW0W2100582,22,6,717,105,22.8,26,67,95
3611,2024-03-22 16:47,ICW0W2100579,5,1,0,234,28,17,66,89
3612,2024-03-22 16:48,ICW0W2100562,17,8,593,1338,24.8,20,61,74
3613,2024-03-22 16:47,ICW0W2100560,13,4,579,6000,23.4,24,65,68
3614,2024-03-22 16:47,ICW0W2100549,14,5,1371,234,19.6,32,73,82
3615,2024-03-22 16:47,ICW0W2100509,19,6,335,6000,23.4,29,78,68
3616,2024-03-22 16:47,ICW0W2100506,23,7,519,29,19.2,32,63,97
3617,2024-03-19 17:57,ICW0W2100499,33,13,500,548,20.5,30,82,86
3618,2024-03-19 13:26,ICW0W2100498,36,13,1781,645,24.5,41,86,77
3619,2024-03-22 16:47,ICW0W2100497,228,95,681,35,25.6,24,72,63
3620,2024-03-22 16:50,ICW0W2100491,5,2,872,12771,24.8,25,60,56
3621,2024-03-22 16:47,ICW0W2100489,10,2,2,2,23.5,24,67,100
3622,2024-03-22 16:47,ICW0W2100488,18,6,468,360,24.4,20,73,91
3623,2024-03-22 16:47,ICW0W2100485,20,6,543,0,23.4,29,79,97
3624,2024-03-22 16:47,ICW0W2100479,23,7,1000,354,24.2,28,62,87
3625,2024-03-22 16:47,ICW0W2100467,9,2,,6000,23.4,23,84,63
3626,2024-02-17 23:27,ICW0W2100466,24,9,516,366,19.9,31,55,92
3627,2024-03-18 14:19,ICW0W2100463,33,10,791,935,22.7,21,71,77
3628,2024-03-22 16:47,ICW0W2100462,5,1,58,6000,25.8,27,57,68
3629,2024-03-22 16:47,ICW0W2100460,10,3,711,0,22.8,28,80,98
3630,2024-02-27 19:25,ICW0W2100459,83,34,514,44,19.9,26,66,88
3631,2024-02-28 10:22,ICW0W2100457,12,4,1423,123,18.1,35,67,86
3632,2024-03-22 16:47,ICW0W2100455,12,3,1296,6000,24.5,31,68,64
3633,2024-03-22 16:47,ICW0W2001000,17,11,114,460,16.6,29,53,87
3634,2024-03-22 16:47,ICW0W2000996,23,17,798,483,23.4,28,59,86
3635,2024-03-22 16:47,ICW0W2000991,13,7,579,85,21.3,30,64,97
3636,2024-02-20 14:27,ICW0W2000990,3,2,1052,6645,21,34,63,71
